VENUE	PokerAtlasURL
Derby Lane Poker Room	https://www.pokeratlas.com/poker-room/derby-lane-st-petersburg
Oxford Downs Poker Room	https://www.pokeratlas.com/poker-room/oxford-downs-summerfield
Orange City Racing & Card Club	https://www.pokeratlas.com/poker-room/orange-city-racing-card-club
Daytona Racing & Card Club	https://www.pokeratlas.com/poker-room/daytona-racing-card-club
Ebro Poker Room	https://www.pokeratlas.com/poker-room/ebro-poker-room-ebro
Silks Poker Tampa Bay Downs	https://www.pokeratlas.com/poker-room/silks-poker-tampa-bay-downs
TGT Poker & Racebook	https://www.pokeratlas.com/poker-room/tgt-poker-racebook-tampa
One-Eyed Jacks Poker	https://www.pokeratlas.com/poker-room/one-eyed-jacks-sarasota
bestbet Jacksonville	https://www.pokeratlas.com/poker-room/bestbet-jacksonville-jacksonville
bestbet Orange Park	https://www.pokeratlas.com/poker-room/bestbet-orange-park
bestbet St. Augustine	https://www.pokeratlas.com/poker-room/bestbet-st-augustine
Palm Beach Kennel Club	https://www.pokeratlas.com/poker-room/palm-beach-kennel-club-west-palm-beach
Creek Entertainment	https://www.pokeratlas.com/poker-room/creek-entertainment-gretna
Pensacola Greyhound	https://www.pokeratlas.com/poker-room/pensacola-greyhound-pensacola
The Last Frontier Casino	https://www.pokeratlas.com/poker-room/the-last-frontier-la-center
